ID,rader,year,authors,title,journal,vol,begin,end,DOI,exclude,rationale
79,Alex,2017,"Ziffer-Berger, Jotham; Weisberg, Peter J.; Cablk, Mary E.; Moshe, Yossi; Osem, Yagil",Shrubs facilitate pine colonization by controlling seed predation in dry Mediterranean dwarf shrublands,JOURNAL OF ARID ENVIRONMENTS,147,34,39,10.1016/j.jaridenv.2017.07.012,included,
80,Alex,2017,"Ei; Kosaka, Yasuyuki; Takeda, Shinya","Underground biomass accumulation of two economically important non-timber forest products is influenced by ecological settings and swiddeners' management in the Sago Mountains, Myanmar",FOREST ECOLOGY AND MANAGEMENT,404,330,337,10.1016/j.foreco.2017.09.015,excluded,agriculture study
81,Alex,2017,"Fonseca, Darliana da Costa; Romarco de Oliveira, Marcio Leles; Pereira, Israel Marinho; Dias Gonzaga, Anne Priscila; de Moura, Cristiane Coelho; Mendonca Machado, Evandro Luiz",Spatial pattern of Baccharis platypoda shrub as determined by sex and life stages,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,85,33,43,10.1016/j.actao.2017.09.001,excluded,no measurement of beneficiaries
82,Alex,2017,"Weng, Chi-Yu; Yang, Kuoh-Cheng; Hsieh, Chang-Fu; Hsieh, Chih-hao; Su, Mong-Huai",Local neighborhood communities in the understory play a critical role by affecting regeneration niches and subsequent community assembly in a montane cloud forest,ECOLOGICAL RESEARCH,32,821,833,10.1007/s11284-017-1475-y,excluded,no open comparison
83,Alex,2017,"Wang, Xiangtai; Michalet, Richard; Chen, Shuyan; Zhao, Liang; An, Lizhe; Du, Guozhen; Zhang, Xiaochen; Jiang, Xingpei; Xiao, Sa",Contrasting understorey species responses to the canopy and root effects of a dominant shrub drive community composition,JOURNAL OF VEGETATION SCIENCE,28,1118,1127,10.1111/jvs.12565,included,
84,Alex,2017,"Xie, Li-Na; Guo, Hong-Yu; Liu, Zhe; Gabler, Christopher A.; Chen, Wei-Zhong; Gu, Song; Ma, Cheng-Cang",Shrubs facilitate recruitment of Caragana stenophylla Pojark: microhabitat amelioration and protection against herbivory,ANNALS OF FOREST SCIENCE,74,,,10.1007/s13595-017-0668-4,excluded,data formatting issue
85,Alex,2017,"Taboada, Angela; Tarrega, Reyes; Marcos, Elena; Valbuena, Luz; Suarez-Seoane, Susana; Calvo, Leonor",Fire recurrence and emergency post-fire management influence seedling CrossMark recruitment and growth by altering plant interactions in fire-prone ecosystems,FOREST ECOLOGY AND MANAGEMENT,402,63,75,10.1016/j.foreco.2017.07.029,excluded,data unavailable
86,Alex,2017,"Peebles-Spencer, Jessica R.; Gorchov, David L.",Are Native Tree Seedlings Facilitated by an Invasive Shrub Where White-Tailed Deer Are Abundant?,NATURAL AREAS JOURNAL,37,539,547,,excluded,not drylands
87,Alex,2017,"Hoven, Brian M.; Gorchov, David L.; Knight, Kathleen S.; Peters, Valerie E.",The effect of emerald ash borer-caused tree mortality on the invasive shrub Amur honeysuckle and their combined effects on tree and shrub seedlings,BIOLOGICAL INVASIONS,19,2813,2836,10.1007/s10530-017-1485-2,excluded,not drylands
88,Alex,2017,"Du, Ning; Wu, Pan; Eller, Franziska; Zhou, Dayou; Liu, Jian; Gan, Wenhao; Yang, Ruirui; Dai, Min; Chen, Yandong; Wang, Renqing; Guo, Weihua",Facilitation or Competition? The Effects of the Shrub Species Tamarix chinensis on Herbaceous Communities are Dependent on the Successional Stage in an Impacted Coastal Wetland of North China,WETLANDS,37,899,911,10.1007/s13157-017-0923-3,excluded,not drylands
89,Alex,2017,"Wang, James Wei; Poh, Choon Hock; Tan, Chloe Yi Ting; Lee, Vivien Naomi; Jain, Anuj; Webb, Edward L.",Building biodiversity: drivers of bird and butterfly diversity on tropical urban roof gardens,ECOSPHERE,8,,,10.1002/ecs2.1905,excluded,urban ecology study
90,Alex,2017,"Costa, A.; Villa, S.; Alonso, P.; Garcia-Rodriguez, J. A.; Martin, F. J.; Martinez-Ruiz, C.; Fernandez-Santos, B.",Can native shrubs facilitate the early establishment of contrasted co-occurring oaks in Mediterranean grazed areas?,JOURNAL OF VEGETATION SCIENCE,28,1047,1056,10.1111/jvs.12550,excluded,not drylands
91,Alex,2017,"Sun, Zhongyu; Huang, Yuhui; Yang, Long; Schaefer, Val; Chen, Yanqiao","Plantation age, understory vegetation, and species-specific traits of target seedlings alter the competition and facilitation role of Eucalyptus in South China",RESTORATION ECOLOGY,25,749,758,10.1111/rec.12499,excluded,not drylands
92,Alex,2017,"Martins, A.; Freitas, H.; Costa, S.",Corema album: unbiased dioecy in a competitive environment,PLANT BIOLOGY,19,824,834,10.1111/plb.12584,excluded,not drylands
93,Alex,2017,"Farzam, Mohammad; Ejtehadi, Hamid",Effects of drought and slope aspect on canopy facilitation in a mountainous rangeland,JOURNAL OF PLANT ECOLOGY,10,626,633,10.1093/jpe/rtw070,included,
94,Alex,2017,"Michalet, Richard; Maalouf, Jean-Paul; Al Hayek, Patrick",Direct litter interference and indirect soil competitive effects of two contrasting phenotypes of a spiny legume shrub drive the forb composition of an oromediterranean community,OIKOS,126,1090,1100,10.1111/oik.03800,excluded,not drylands
95,Alex,2017,"Iyengar, Siddharth Bharath; Bagchi, Sumanta; Barua, Deepak; Mishra, Charudutt; Sankaran, Mahesh",A dominant dwarf shrub increases diversity of herbaceous plant communities in a Trans-Himalayan rangeland,PLANT ECOLOGY,218,843,854,10.1007/s11258-017-0734-x,excluded,cannot extract data from boxplot
96,Alex,2017,"Olson, Lucretia E.; Squires, John R.; Oakleaf, Robert J.; Wallace, Zachary P.; Kennedy, Patricia L.",Predicting above-ground density and distribution of small mammal prey species at large spatial scales,PLOS ONE,12,,,10.1371/journal.pone.0177165,excluded,no measure of plants
97,Alex,2017,"Saixiyala; Yang, Ding; Zhang, Shudong; Liu, Guofang; Yang, Xuejun; Huang, Zhenying; Ye, Xuehua",Facilitation by a Spiny Shrub on a Rhizomatous Clonal Herbaceous in Thicketization-Grassland in Northern China: Increased Soil Resources or Shelter from Herbivores,FRONTIERS IN PLANT SCIENCE,8,,,10.3389/fpls.2017.00809,included,
98,Alex,2017,"Filazzola, Alessandro; Westphal, Michael; Powers, Michael; Liczner, Amanda Rae; Woollett, Deborah A. (Smith); Johnson, Brent; Lortie, Christopher J.","Non-trophic interactions in deserts: Facilitation, interference, and an endangered lizard species",BASIC AND APPLIED ECOLOGY,20,51,61,10.1016/j.baae.2017.01.002,included,
99,Alex,2017,"Andivia, Enrique; Villar-Salvador, Pedro; Tovar, Liliana; Rabasa, Sonia; Rey Benayas, Jose M.",Multiscale assessment of woody species recruitment in Mediterranean shrublands: facilitation and beyond,JOURNAL OF VEGETATION SCIENCE,28,639,648,10.1111/jvs.12520,excluded,not drylands
100,Alex,2017,"Yang, Yang; Chen, Jian-Guo; Schob, Christian; Sun, Hang","Size-Mediated Interaction between a Cushion Species and Other Non- cushion Species at High Elevations of the Hengduan Mountains, SW China",FRONTIERS IN PLANT SCIENCE,8,,,10.3389/fpls.2017.00465,excluded,not drylands
101,Alex,2017,"Liczner, Amanda R.; Sotomayor, Diego A.; Filazzola, Alessandro; Lortie, Christopher J.",Germination response of desert annuals to shrub facilitation is species specific but not ecotypic,JOURNAL OF PLANT ECOLOGY,10,364,374,10.1093/jpe/rtw030,included,
102,Alex,2017,"Al-Namazi, Ali A.; El-Bana, Magdy I.; Bonser, Stephen P.",Competition and facilitation structure plant communities under nurse tree canopies in extremely stressful environments,ECOLOGY AND EVOLUTION,7,2747,2755,10.1002/ece3.2690,excluded,no comparison to open
103,Alex,2017,"Fenu, Giuseppe; Cogoni, Donatella; Navarro, Francisco B.; Concas, Erica; Bacchetta, Gianluigi",The importance of the Cisto-Lavanduletalia coastal habitat on population persistence of the narrow endemic Dianthus morisianus (Caryophyllaceae),PLANT SPECIES BIOLOGY,32,156,168,10.1111/1442-1984.12138,excluded,not drylands
104,Alex,2017,"Lara-Romero, Carlos; Gusman-M, Elizabeth; Ramon, Pablo; Velez-Morac, Diego; Ivan Espinosac, Carlos",Does size matter? Ontogenetic responses of an Andean shrub to conspecific density-dependence,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,25,59,67,10.1016/j.ppees.2017.02.002,excluded,no comparison to open
105,Alex,2017,"Graff, Pamela; Aguiar, Martin R.",Do species' strategies and type of stress predict net positive effects in an arid ecosystem?,ECOLOGY,98,794,806,10.1002/ecy.1703,included,
106,Alex,2017,"Qian, ChaoJu; Gu, MengHe; Yin, HengXia; Shi, Yong; Yin, ChengLiang; Yan, Xia; Ma, XiaoFei",Adaptive evolution of rbcL in Reaumuria soongarica (Tamaricaceae),SCIENCES IN COLD AND ARID REGIONS,9,78,88,10.3724/SP.J.1226.2017.00078,excluded,not a plant interaction study
107,Alex,2017,"Lopez, Dardo R.; Cavallero, Laura",The role of nurse functional types in seedling recruitment dynamics of alternative states in rangelands,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,79,70,80,10.1016/j.actao.2017.01.003,excluded,manipulative study without pairwise comparisons
108,Alex,2017,"Loayza, Andrea P.; Herrera-Madariaga, Marisol A.; Carvajal, Danny E.; Garcia-Guzman, Patricio; Squeo, Francisco A.",Conspecific plants are better 'nurses' than rocks: consistent results revealing intraspecific facilitation as a process that promotes establishment in a hyper-arid environment,AOB PLANTS,9,,,10.1093/aobpla/plx056,excluded,no comparison to open
109,Alex,2017,"Kelemen, Andras; Tolgyesi, Csaba; Kun, Robert; Molnar, Zsolt; Vadasz, Csaba; Toth, Katalin",Positive small-scale effects of shrubs on diversity and flowering in pastures,TUEXENIA,,399,413,10.14471/2017.37.009,excluded,not drylands
110,Alex,2017,"Gandhi, Durai Sanjay; Sundarapandian, Somaiah","Soil carbon stock assessment in the tropical dry deciduous forest of the Sathanur reserve forest of Eastern Ghats, India",JOURNAL OF SUSTAINABLE FORESTRY,36,358,374,10.1080/10549811.2017.1308870,excluded,not drylands
111,Alex,2017,"Garcia-Camacho, Raul; Metz, Johannes; Bilton, Mark C.; Tielboerger, Katja",Phylogenetic structure of annual plant communities along an aridity gradient. Interacting effects of habitat filtering and shifting plant-plant interactions,ISRAEL JOURNAL OF PLANT SCIENCES,64,122,134,10.1080/07929978.2017.1288477,excluded,no access
112,Alex,2016,"Hellmann, Christine; Rascher, Katherine G.; Oldeland, Jens; Werner, Christiane",Isoscapes resolve species-specific spatial patterns in plant-plant interactions in an invaded Mediterranean dune ecosystem,TREE PHYSIOLOGY,36,1460,1470,10.1093/treephys/tpw075,excluded,not drylands
113,Alex,2016,"Mod, Heidi K.; Heikkinen, Risto K.; le Roux, Peter C.; Wisz, Mary S.; Luoto, Miska",Impact of biotic interactions on biodiversity varies across a landscape,JOURNAL OF BIOGEOGRAPHY,43,2412,2423,10.1111/jbi.12794,excluded,not drylands
114,Alex,2016,"Malatesta, Luca; Tardella, Federico Maria; Piermarteri, Karina; Catorci, Andrea",Evidence of Facilitation Cascade Processes as Drivers of Successional Patterns of Ecosystem Engineers at the Upper Altitudinal Limit of the Dry Puna,PLOS ONE,11,,,10.1371/journal.pone.0167265,excluded,not drylands
115,Alex,2016,"Holthuijzen, Maike F.; Veblen, Kari E.",GRAZING EFFECTS ON PRECIPITATION-DRIVEN ASSOCIATIONS BETWEEN SAGEBRUSH AND PERENNIAL GRASSES,WESTERN NORTH AMERICAN NATURALIST,76,313,325,10.3398/064.076.0308,included,
116,Alex,2016,"Landesmann, Jennifer B.; Gowda, Juan H.; Kitzberger, Thomas",Temporal shifts in the interaction between woody resprouters and an obligate seeder tree during a post-fire succession in Patagonia,JOURNAL OF VEGETATION SCIENCE,27,1198,1208,10.1111/jvs.12430,excluded,not drylands
117,Alex,2016,"Chapin, F. Stuart, III; Conway, Alexandra J.; Johnstone, Jill F.; Hollingsworth, Teresa N.; Hollingsworth, Jamie",Absence of net long-term successional facilitation by alder in a boreal Alaska floodplain,ECOLOGY,97,2986,2997,10.1002/ecy.1529,excluded,not drylands
118,Alex,2016,"Navarro-Cano, Jose A.; Goberna, Marta; Valiente-Banuet, Alfonso; Verdu, Miguel",Same nurse but different time: temporal divergence in the facilitation of plant lineages with contrasted functional syndromes,FUNCTIONAL ECOLOGY,30,1854,1861,10.1111/1365-2435.12660,excluded,no comparison to open
119,Alex,2016,"Ruttan, Ally; Filazzola, Alessandro; Lortie, Christopher J.",Shrub-annual facilitation complexes mediate insect community structure in arid environments,JOURNAL OF ARID ENVIRONMENTS,134,1,9,10.1016/j.jaridenv.2016.06.009,included,
120,Alex,2016,"Badano, Ernesto I.; Samour-Nieva, Omar R.; Flores, Joel; Flores-Flores, Jose L.; Flores-Cano, Jorge A.; Rodas-Ortiz, Juan P.",Facilitation by nurse plants contributes to vegetation recovery in human-disturbed desert ecosystems,JOURNAL OF PLANT ECOLOGY,9,485,497,10.1093/jpe/rtw002,included,
121,Alex,2016,"Zhang, Gefei; Zhao, Liwen; Yang, Qiyue; Zhao, Wenzhi; Wang, Xiaofen",Effect of desert shrubs on fine-scale spatial patterns of understory vegetation in a dry-land,PLANT ECOLOGY,217,1141,1155,10.1007/s11258-016-0639-0,included,
122,Alex,2016,"Lucas-Borja, Manuel E.; Candel-Perez, David; Garcia Morote, Francisco A.; Onkelinx, Thierry; Tiscar, Pedro A.; Balandier, Philippe","Pinus nigra Arn. ssp salzmannii seedling recruitment is affected by stand basal area, shrub cover and climate interactions",ANNALS OF FOREST SCIENCE,73,649,656,10.1007/s13595-016-0550-9,excluded,not drylands
123,Alex,2016,"Valliere, Justin M.; Allen, Edith B.",Nitrogen enrichment contributes to positive responses to soil microbial communities in three invasive plant species,BIOLOGICAL INVASIONS,18,2349,2364,10.1007/s10530-016-1166-6,excluded,no test of facilitation
124,Alex,2016,"Alday, Josu G.; Zaldivar, Pilar; Torroba-Balmori, Paloma; Fernandez-Santos, Belen; Martinez-Ruiz, Carolina",Natural forest expansion on reclaimed coal mines in Northern Spain: the role of native shrubs as suitable microsites,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,23,13606,13616,10.1007/s11356-015-5681-2,excluded,not drylands
125,Alex,2016,"Malanson, George P.; Resler, Lynn M.",A size-gradient hypothesis for alpine treeline ecotones,JOURNAL OF MOUNTAIN SCIENCE,13,1154,1161,10.1007/s11629-016-3984-5,excluded,not drylands
126,Alex,2016,"Manuel Mancilla-Leyton, Juan; Jose Leiva, Maria; Martin Vicente, Angel",Soil compaction and water availability affect growth and survival of Quercus ilex subsp ballota seedlings under different light environments,NEW FORESTS,47,621,633,10.1007/s11056-016-9534-8,excluded,no test of facilitation
127,Alex,2016,"Catorci, Andrea; Malatesta, Luca; Luis Velasquez, Jose; Tardella, Federico Maria; Zeballos, Horacio",The interplay of nurse and target plant traits influences magnitude and direction of facilitative interactions under different combinations of stress and disturbance intensities in Andean dry grassland,JOURNAL OF PLANT ECOLOGY,9,296,310,10.1093/jpe/rtv062,included,
128,Alex,2016,"Pablo Lopez, Ramiro; Squeo, Francisco A.; Armas, Cristina; Kelt, Douglas A.; Gutierrez, Julio R.",Enhanced facilitation at the extreme end of the aridity gradient in the Atacama Desert: a community-level approach,ECOLOGY,97,1593,1604,10.1890/15-1152.1,excluded,no pairwise comparison
129,Alex,2016,"Hewins, Daniel B.; Throop, Heather L.",Leaf litter decomposition is rapidly enhanced by the co-occurrence of monsoon rainfall and soil-litter mixing across a gradient of coppice dune development in the Chihuahuan Desert,JOURNAL OF ARID ENVIRONMENTS,129,111,118,10.1016/j.jaridenv.2016.02.014,excluded,no plant-interaction contrast
130,Alex,2016,"Macek, Petr; Prieto, Ivan; Mackova, Jana; Piston, Nuria; Pugnaire, Francisco I.",Functional Plant Types Drive Plant Interactions in a Mediterranean Mountain Range,FRONTIERS IN PLANT SCIENCE,7,,,10.3389/fpls.2015.0056,excluded,not drylands
131,Alex,2016,"Tsuda, Erika Tiemi; Castellani, Tania Tarabini",Vriesea friburgensis: A natural trap or a nurse plant in coastal sand dunes?,AUSTRAL ECOLOGY,41,273,281,10.1111/aec.12308,excluded,not drylands
132,Alex,2016,"Paterno, Gustavo Brant; Siqueira Filho, Jose Alves; Ganade, Gislene","Species-specific facilitation, ontogenetic shifts and consequences for plant community succession",JOURNAL OF VEGETATION SCIENCE,27,606,615,10.1111/jvs.12382,excluded,not drylands
133,Alex,2016,"Allegrezza, M.; Corti, G.; Cocco, S.; Pesaresi, S.; Chirico, G. B.; Saracino, A.; Bonanomi, G.",Microclimate buffering and fertility island formation during Juniperus communis ontogenesis modulate competition-facilitation balance,JOURNAL OF VEGETATION SCIENCE,27,616,627,10.1111/jvs.12386,included,
134,Stephanie,2016,"Ashouri, Parvaneh; Jalili, Adel; Danehkar, Afshin; Chahouki, Mohammad Ali Zare; Hamzeh'ee, Behnam",Is there any support for the humped-back model in some steppe and semi steppe regions of Iran?,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,73,61,70,10.1016/j.actao.2016.03.002,1,"does not compare shrub to open, only different levels of disturbance"
135,Stephanie,2016,"Piston, Nuria; Schob, Christian; Armas, Cristina; Prieto, Ivan; Pugnaire, Francisco I.",Contribution of co-occurring shrub species to community richness and phylogenetic diversity along an environmental gradient,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,19,30,39,10.1016/j.ppees.2016.02.002,1,habitat is subalpine
136,Stephanie,2016,"Amghar, Fateh; Forey, Estelle; Richard, Benoit; Touzard, Blaise; Laddada, Souhila; Brouri, Lakhdar; Langlois, Estelle; Margerie, Pierre",Old nurses always die: impacts of nurse age on local plant richness,PLANT ECOLOGY,217,407,419,10.1007/s11258-016-0582-0,1,open sites not compared
137,Stephanie,2016,"Cameron, Emily A.; Lantz, Trevor C.","Drivers of tall shrub proliferation adjacent to the Dempster Highway, Northwest Territories, Canada",ENVIRONMENTAL RESEARCH LETTERS,11,,,10.1088/1748-9326/11/4/045006,1,open sites not compared
138,Stephanie,2016,"Bombaci, Sara; Pejchar, Liba",Consequences of pinyon and juniper woodland reduction for wildlife in North America,FOREST ECOLOGY AND MANAGEMENT,365,34,50,10.1016/j.foreco.2016.01.018,1,review
139,Stephanie,2016,"Zhang, Hai-Yang; Yu, Qiang; Lu, Xiao-Tao; Trumbore, Susan E.; Yang, Jun-Jie; Han, Xing-Guo",Impacts of leguminous shrub encroachment on neighboring grasses include transfer of fixed nitrogen,OECOLOGIA,180,1213,1222,10.1007/s00442-015-3538-5,0,
140,Stephanie,2016,"Abd El-Wahab, Raafat H.","Species richness, structure, and conservation of Nitraria retusa communities in the coastal salt marshes of Kuwait",REGIONAL ENVIRONMENTAL CHANGE,16,1097,1107,10.1007/s10113-015-0831-0,1,data not provided between shrub and open
141,Stephanie,2016,"Mello, Thayna Jeremias; de Oliveira, Alexandre Adalardo",Making a Bad Situation Worse: An Invasive Species Altering the Balance of Interactions between Local Species,PLOS ONE,11,,,10.1371/journal.pone.0152070,0,
142,Stephanie,2016,"Rysavy, Anne; Seifan, Merav; Sternberg, Marcelo; Tielboerger, Katja",Neighbour effects on shrub seedling establishment override climate change impacts in a Mediterranean community,JOURNAL OF VEGETATION SCIENCE,27,227,237,10.1111/jvs.12359,1,"beneficiary was sapling foundation species, neighbours were only general herbaceous species, not a foundation species"
143,Stephanie,2016,"Molina-Montenegro, Marco A.; Oses, Romulo; Atala, Cristian; Torres-Diaz, Cristian; Bolados, Gustavo; Leon-Lobos, Pedro",Nurse effect and soil microorganisms are key to improve the establishment of native plants in a semiarid community,JOURNAL OF ARID ENVIRONMENTS,126,54,61,10.1016/j.jaridenv.2015.10.016,0,
144,Stephanie,2016,"Dias, Filipe S.; Miller, David L.; Marques, Tiago A.; Marcelino, Joana; Caldeira, Maria C.; Orestes Cerdeira, J.; Bugalho, Miguel N.",Conservation zones promote oak regeneration and shrub diversity in certified Mediterranean oak woodlands,BIOLOGICAL CONSERVATION,195,226,234,10.1016/j.biocon.2016.01.009,1,does not compare shrub to open
145,Stephanie,2016,"Ricca, Mark A.; Miles, A. Keith; Van Vuren, Dirk H.; Eviner, Valerie T.",Impacts of introduced Rangifer on ecosystem processes of maritime tundra on subarctic islands,ECOSPHERE,7,,,10.1002/ecs2.1219,1,does not compare shrub/open
146,Stephanie,2016,"Noumi, Zouhaier; Chaieb, Mohamed; Le Bagousse-Pinguet, Yoann; Michalet, Richard",The relative contribution of short-term versus long-term effects in shrub-understory species interactions under arid conditions,OECOLOGIA,180,529,542,10.1007/s00442-015-3482-4,0,
147,Stephanie,2016,"Garbin, Mario L.; Guidoni-Martins, Karlo G.; Hollunder, Renan K.; Mariotte, Pierre; Scarano, Fabio R.; Carrijo, Tatiana T.",Spatial segregation of subordinate species is not controlled by the dominant species in a tropical coastal plant community,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,18,23,32,10.1016/j.ppees.2015.12.002,1,does not compare shrub/open
148,Stephanie,2016,"El-Keblawy, Ali; Kafhaga, Tamer; Navarro, Teresa",Live and dead shrubs and grasses have different facilitative and interfering effects on associated plants in arid Arabian deserts,JOURNAL OF ARID ENVIRONMENTS,125,127,135,10.1016/j.jaridenv.2015.10.007,0,foundation species not destinguished
149,Stephanie,2016,"Garcia-Cervigon, A. I.",Including time on the study of plant-plant interactions through dendroecology,ECOSISTEMAS,25,74,82,10.7818/ECOS.2016.25-1.11,1,article is in spanish
150,Stephanie,2016,"Owiny, A. A.",Communities of Trees Along a Tropical Forest Restoration Gradient,RUSSIAN JOURNAL OF ECOLOGY,47,53,61,10.1134/S1067413616010094,1,does not look at beneficiaries individually
151,Stephanie,2016,"Fujita, Tomohiro",Relative importance of perch and facilitative effects on nucleation in tropical woodland in Malawi,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,70,45,52,10.1016/j.actao.2015.11.007,1,Faciliator was a tree
152,Stephanie,2016,"Butterfield, Bradley J.; Bradford, John B.; Armas, Cristina; Prieto, Ivan; Pugnaire, Francisco I.",Does the stress-gradient hypothesis hold water? Disentangling spatial and temporal variation in plant effects on soil moisture in dryland systems,FUNCTIONAL ECOLOGY,30,10,19,10.1111/1365-2435.12592,1,not a field study
153,Stephanie,2016,"Rodriguez-Echeverria, Susana; Lozano, Yudi M.; Bardgett, Richard D.",Influence of soil microbiota in nurse plant systems,FUNCTIONAL ECOLOGY,30,30,40,10.1111/1365-2435.12594,1,review
154,Stephanie,2016,"Lortie, Christopher J.; Filazzola, Alessandro; Sotomayor, Diego A.",Functional assessment of animal interactions with shrub-facilitation complexes: a formal synthesis and conceptual framework,FUNCTIONAL ECOLOGY,30,41,51,10.1111/1365-2435.12530,1,review
155,Stephanie,2016,"Metz, Johannes; Tielboerger, Katja",Spatial and temporal aridity gradients provide poor proxies for plant-plant interactions under climate change: a large-scale experiment,FUNCTIONAL ECOLOGY,30,20,29,10.1111/1365-2435.12599,1,does not look at beneficiaries individually
156,Stephanie,2016,"Brathen, Kari Anne; Lortie, Christopher",A portfolio effect of shrub canopy height on species richness in both stressful and competitive environments,FUNCTIONAL ECOLOGY,30,60,69,10.1111/1365-2435.12458,1,Tundra ecosystem
157,Stephanie,2015,"Holthuijzen, Maike F.; Veblen, Kari E.","Grass-Shrub Associations over a Precipitation Gradient and Their Implications for Restoration in the Great Basin, USA",PLOS ONE,10,,,10.1371/journal.pone.0143170,0,
158,Stephanie,2015,"Horn, Kevin J.; Wilkinson, Joseph; White, Steven; St Clair, Samuel B.",Desert wildfire impacts on plant community function,PLANT ECOLOGY,216,1623,1634,10.1007/s11258-015-0546-9,1,"examined only shrubs, beneficiaries"
159,Stephanie,2015,"Zhang, Gefei; Yang, Qiyue; Wang, Xiaofen; Zhao, Wenzhi","Size-related change in Nitraria sphaerocarpa patches shifts the shrub-annual interaction in an arid desert, northwestern China",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,69,121,128,10.1016/j.actao.2015.10.004,1,data not provided
160,Stephanie,2015,"Arroyo, Antonio I.; Pueyo, Yolanda; Saiz, Hugo; Alados, Concepcion L.",Plant-plant interactions as a mechanism structuring plant diversity in a Mediterranean semi-arid ecosystem,ECOLOGY AND EVOLUTION,5,5305,5317,10.1002/ece3.1770,0,
161,Stephanie,2015,"Bueno, Andrea; Llambi, Luis D.",Facilitation and edge effects influence vegetation regeneration in old-fields at the tropical Andean forest line,APPLIED VEGETATION SCIENCE,18,613,623,10.1111/avsc.12186,1,habitat is alpine
162,Stephanie,2015,"Tirado, Reyes; Brathen, Kari Anne; Pugnaire, Francisco I.",Mutual positive effects between shrubs in an arid ecosystem,SCIENTIFIC REPORTS,5,,,10.1038/srep14710,1,bidirectional faciliatation between two shrubs
163,Stephanie,2015,"Dominguez, Maria T.; Perez-Ramos, Ignacio M.; Murillo, Jose M.; Maranon, Teodoro",Facilitating the afforestation of Mediterranean polluted soils by nurse shrubs,JOURNAL OF ENVIRONMENTAL MANAGEMENT,161,276,286,10.1016/j.jenvman.2015.07.009,1,habitat not arid
164,Stephanie,2015,"Jose Leiva, Maria; Manuel Mancilla-Leyton, Juan; Martin Vicente, Angel",Differences in the facilitative ability of two Mediterranean shrubs on holm-oak seedling recruitment in Mediterranean savanna-forest ecosystems,ECOLOGICAL ENGINEERING,82,349,354,10.1016/j.ecoleng.2015.05.019,1,habitat not arid
165,Stephanie,2015,"James, Cassandra S.; Capon, Samantha J.; Quinn, Gerry P.","Nurse plant effects of a dominant shrub (Duma florulenta) on understorey vegetation in a large, semi-arid wetland in relation to flood frequency and drying",JOURNAL OF VEGETATION SCIENCE,26,985,994,10.1111/jvs.12297,1,data not provided
166,Stephanie,2015,"Hortal, S.; Bastida, F.; Moreno, J. L.; Armas, C.; Garcia, C.; Pugnaire, F. I.",Benefactor and allelopathic shrub species have different effects on the soil microbial community along an environmental severity gradient,SOIL BIOLOGY & BIOCHEMISTRY,88,48,57,10.1016/j.soilbio.2015.05.009,1,studied bacteria of foundation species not plants
167,Stephanie,2015,"Kaarlejarvi, Elina; Hoset, Katrine S.; Olofsson, Johan",Mammalian herbivores confer resilience of Arctic shrub-dominated ecosystems to changing climate,GLOBAL CHANGE BIOLOGY,21,3379,3388,10.1111/gcb.12970,1,did not measure beneficiary species
168,Stephanie,2015,"Michalet, Richard; Brooker, Rob W.; Lortie, Christopher J.; Maalouf, Jean-Paul; Pugnaire, Francisco I.",Disentangling direct and indirect effects of a legume shrub on its understorey community,OIKOS,124,1251,1262,10.1111/oik.01819,1,data not provided
169,Stephanie,2015,"Waitz, Yoni; Cohen, Yafit; Dorman, Michael; Perevolotsky, Avi",From microsite selection to population spatial distribution: Pinus halepensis colonization in mediterranean-type ecosystems,PLANT ECOLOGY,216,1311,1324,10.1007/s11258-015-0511-7,0,
170,Stephanie,2015,"Wang, Yafeng; Liang, Eryuan; Ellison, Aaron M.; Lu, Xiaoming; Camarero, J. Julio",Facilitation stabilizes moisture-controlled alpine juniper shrublines in the central Tibetan Plateau,GLOBAL AND PLANETARY CHANGE,132,20,30,10.1016/j.gloplacha.2015.06.007,1,habitat is alpine
171,Stephanie,2015,"Talamo, Andres; Barchuk, Alicia; Cardozo, Silvana; Trucco, Carlos; MarAs, Gustavo; Trigo, Carolina",Direct versus indirect facilitation (herbivore mediated) among woody plants in a semiarid Chaco forest: A spatial association approach,AUSTRAL ECOLOGY,40,573,580,10.1111/aec.12224,1,habitat is semiarrid forest
172,Stephanie,2015,"Ballantyne, Mark; Pickering, Catherine Marina",Shrub facilitation is an important driver of alpine plant community diversity and functional composition,BIODIVERSITY AND CONSERVATION,24,1859,1875,10.1007/s10531-015-0910-z,1,habitat is alpine
